DBN,School Name,Year,% English Language Learners
02M347,The 47 American Sign Language & English Lower Scho,2022-23,0.24581006169319153
02M374,Gramercy Arts High School,2018-19,0.021367521956562996
02M374,Gramercy Arts High School,2019-20,0.01781737245619297
02M374,Gramercy Arts High School,2020-21,0.03726708143949509
02M374,Gramercy Arts High School,2021-22,0.025096524506807327
02M374,Gramercy Arts High School,2022-23,0.025590552017092705
02M376,NYC iSchool,2018-19,0.010729613713920116
02M376,NYC iSchool,2019-20,0.01075268816202879
02M376,NYC iSchool,2020-21,0.012269938364624977
02M376,NYC iSchool,2021-22,0.01287553645670414
02M376,NYC iSchool,2022-23,0.017699114978313446
02M391,District 2 Pre-K Center,2018-19,0
02M391,District 2 Pre-K Center,2019-20,0
02M391,District 2 Pre-K Center,2020-21,0
02M391,District 2 Pre-K Center,2021-22,0
02M391,District 2 Pre-K Center,2022-23,0
02M392,Manhattan Business Academy,2018-19,0.06280193477869034
02M392,Manhattan Business Academy,2019-20,0.06157635524868965
02M392,Manhattan Business Academy,2020-21,0.10148514807224274
02M392,Manhattan Business Academy,2021-22,0.10199005156755447
